Fa,Fs,beta,dim,isDynamic,isFock,mass2,massratio,order,partition,rs,spin,Σw,Σw.err,μ,μ.err
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,200,0.5,2,65.7274980644846,1.1211151014942953,4.160632174454472,0.11827858419718663
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,110,0.5,2,0.0,7.502635967975885e-12,0.6241676423774405,0.0018148330383602517
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,101,0.5,2,0.0,7.502635967975885e-12,0.025653474458996014,0.0003868997074206792
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,100,0.5,2,0.0,7.502635967975885e-12,4.093207294415491,0.0065015518397526385
-0.0,-0.1,100.0,3,true,false,0.001,1.0,2,110,0.5,2,0.0,7.502635967975885e-12,2.9308753333741384,0.03224008050812436
-0.0,-0.1,100.0,3,true,false,0.001,1.0,2,200,0.5,2,3225.046715533024,173.2947324589907,65.18862467195933,12.309856185684634
-0.0,-0.1,100.0,3,true,false,0.001,1.0,2,101,0.5,2,0.0,7.502635967975885e-12,0.10026184375059637,0.003455230835566583
-0.0,-0.1,100.0,3,true,false,0.001,1.0,2,100,0.5,2,0.0,7.502635967975885e-12,16.325972933779596,0.06017744887281921
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,110,0.5,2,0.0,7.502635967975885e-12,2.9208260502283263,0.016720975052891184
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,200,0.5,2,3055.317543364634,84.16324053562008,93.52358759427334,6.554042663752253
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,101,0.5,2,0.0,7.502635967975885e-12,0.10265947056351273,0.0019810370963508784
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,100,0.5,2,0.0,7.502635967975885e-12,16.32906089680328,0.03610999172455394
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,200,1.0,2,1840.3706661222927,16.967629756554018,62.10480653444471,1.2168691901384723
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,100,1.0,2,0.0,7.502635967975885e-12,8.11707927290903,0.012233847996360977
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,110,1.0,2,0.0,7.502635967975885e-12,4.723948045678591,0.011724667459847583
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,101,1.0,2,0.0,7.502635967975885e-12,0.10204391555333135,0.0007454785361212495
-0.0,-0.223,100.0,3,true,false,0.001,1.0,2,110,1.0,2,0.0,7.502635967975885e-12,21.377681030230065,0.16779453411224826
-0.0,-0.223,100.0,3,true,false,0.001,1.0,2,200,1.0,2,64158.38270015416,1683.9589917068524,1152.6699152604192,114.96721347297144
-0.0,-0.223,100.0,3,true,false,0.001,1.0,2,101,1.0,2,0.0,7.502635967975885e-12,0.4063589722182042,0.007068613472645591
-0.0,-0.223,100.0,3,true,false,0.001,1.0,2,100,1.0,2,0.0,7.502635967975885e-12,32.38979184680552,0.1224758715549891
-0.0,-0.2,100.0,3,true,false,0.001,1.0,2,110,1.0,2,0.0,7.502635967975885e-12,21.18344915895261,0.1914562229605633
-0.0,-0.2,100.0,3,true,false,0.001,1.0,2,200,1.0,2,68258.59402938545,1927.7993950432021,1114.3406658390204,110.29104817087365
-0.0,-0.2,100.0,3,true,false,0.001,1.0,2,101,1.0,2,0.0,7.502635967975885e-12,0.40716172964863995,0.007335839447274409
-0.0,-0.2,100.0,3,true,false,0.001,1.0,2,100,1.0,2,0.0,7.502635967975885e-12,32.29514103436061,0.12370951499832059
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,110,1.0,2,0.0,7.502635967975885e-12,21.32750348322259,0.08991055929310805
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,200,1.0,2,68766.90166396045,848.0798997441536,1100.2033516325473,58.359318633613086
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,101,1.0,2,0.0,7.502635967975885e-12,0.41389575647959037,0.003792769738533953
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,100,1.0,2,0.0,7.502635967975885e-12,32.42113938260277,0.0565856898048503
-0.0,0.223,100.0,3,true,false,0.001,1.0,2,110,1.0,2,0.0,7.502635967975885e-12,21.15666927258916,0.16971362052356895
-0.0,0.223,100.0,3,true,false,0.001,1.0,2,200,1.0,2,65491.569117404,2104.600691312314,1071.5108943112741,128.48676668582394
-0.0,0.223,100.0,3,true,false,0.001,1.0,2,101,1.0,2,0.0,7.502635967975885e-12,0.40997456309390684,0.00748957272217077
-0.0,0.223,100.0,3,true,false,0.001,1.0,2,100,1.0,2,0.0,7.502635967975885e-12,32.482121916425,0.10990618923013443
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,110,1.5,2,0.0,7.502635967975885e-12,15.194243191258487,0.034210199967167634
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,200,1.5,2,12453.495694381523,84.60932926952704,291.17524487029755,4.731590857460105
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,101,1.5,2,0.0,7.502635967975885e-12,0.22398470072701407,0.0010832764705900394
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,100,1.5,2,0.0,7.502635967975885e-12,11.970004078510534,0.01687955247790708
-0.0,-0.30000000000000004,100.0,3,true,false,0.001,1.0,2,110,1.5,2,0.0,7.502635967975885e-12,65.63221666034683,0.4921951552759015
-0.0,-0.30000000000000004,100.0,3,true,false,0.001,1.0,2,200,1.5,2,390474.03860703023,8524.865213276744,5026.1682055751235,407.0359353292247
-0.0,-0.30000000000000004,100.0,3,true,false,0.001,1.0,2,101,1.5,2,0.0,7.502635967975885e-12,0.902184678314921,0.01362187695953051
-0.0,-0.30000000000000004,100.0,3,true,false,0.001,1.0,2,100,1.5,2,0.0,7.502635967975885e-12,48.00726790715906,0.187801069386868
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,110,1.5,2,0.0,7.502635967975885e-12,65.77528852579503,0.25399920051160646
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,200,1.5,2,401906.8098943412,4301.304147922168,4821.231378932974,231.12255671459758
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,101,1.5,2,0.0,7.502635967975885e-12,0.8912454979522936,0.0062138419289460185
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,100,1.5,2,0.0,7.502635967975885e-12,47.91832571437805,0.0956523874387863
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,100,2.0,2,0.0,7.502635967975885e-12,15.84657193869165,0.02379867633460502
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,110,2.0,2,0.0,7.502635967975885e-12,34.47353451022953,0.07937073860274152
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,200,2.0,2,47709.26254002433,266.6767975754942,844.2553130317469,12.59460730503257
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,101,2.0,2,0.0,7.502635967975885e-12,0.3921938655265348,0.0015900297983365986
-0.0,-0.4,100.0,3,true,false,0.001,1.0,2,110,2.0,2,0.0,7.502635967975885e-12,148.87714665456193,1.0719323203240843
-0.0,-0.4,100.0,3,true,false,0.001,1.0,2,200,2.0,2,1.3264123218788467e6,22380.279345727813,12906.3609066474,1076.0856200808894
-0.0,-0.4,100.0,3,true,false,0.001,1.0,2,101,2.0,2,0.0,7.502635967975885e-12,1.5416605670099033,0.017747251975199402
-0.0,-0.4,100.0,3,true,false,0.001,1.0,2,100,2.0,2,0.0,7.502635967975885e-12,63.12309029975826,0.24980921433853387
-0.0,-0.38,100.0,3,true,false,0.001,1.0,2,110,2.0,2,0.0,7.502635967975885e-12,145.96800377269759,1.0261868598966049
-0.0,-0.38,100.0,3,true,false,0.001,1.0,2,200,2.0,2,1.3873026134500902e6,24086.498396062543,12894.364354553725,929.9539324054053
-0.0,-0.38,100.0,3,true,false,0.001,1.0,2,101,2.0,2,0.0,7.502635967975885e-12,1.5608838327364734,0.016699822629402453
-0.0,-0.38,100.0,3,true,false,0.001,1.0,2,100,2.0,2,0.0,7.502635967975885e-12,63.160499793921424,0.238835800523994
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,110,2.0,2,0.0,7.502635967975885e-12,147.61389447914306,0.5550073989925713
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,200,2.0,2,1.3750325938925121e6,13996.333739140191,13600.966813657025,510.1797238465634
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,101,2.0,2,0.0,7.502635967975885e-12,1.569980900531415,0.009218678471442887
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,100,2.0,2,0.0,7.502635967975885e-12,63.23879774331533,0.11388443208576346
-0.0,0.38,100.0,3,true,false,0.001,1.0,2,110,2.0,2,0.0,7.502635967975885e-12,146.52191176003367,1.0417333286012862
