Fa,Fs,beta,dim,isDynamic,isFock,mass2,massratio,order,partition,rs,spin,Σw,Σw.err,μ,μ.err
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,121,1.0,2,0.0,7.502635967975883e-12,0.0002291956821270076,3.286986678677481e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,400,1.0,2,0.1564631565492241,0.0005067563870791135,0.02296485465525331,0.0005564516412948584
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,102,1.0,2,0.0,7.502635967975883e-12,0.06824081567317876,3.238591391349483e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,110,1.0,2,0.0,7.502635967975883e-12,0.28380879089570116,0.00013446804227272213
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,200,1.0,2,0.08018882850729138,3.604979594483526e-5,0.24862467731078383,0.00014349697367174987
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,112,1.0,2,0.0,7.502635967975883e-12,0.04122990573126626,1.9442163213168168e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,202,1.0,2,0.11538585434884394,4.3637658494281566e-5,0.07818245030973306,5.5958427582777055e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,210,1.0,2,0.01578671606189492,6.814836140696123e-5,0.02977450899294036,0.00023612809295512805
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,101,1.0,2,0.0,7.502635967975883e-12,0.1711500176336983,8.501029356111986e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,300,1.0,2,-0.10719011388047361,0.00021122771214848808,0.016734366296738506,0.0002048512820352104
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,120,1.0,2,0.0,7.502635967975883e-12,0.005683040594550611,0.0001445399316121469
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,201,1.0,2,0.10678708785456621,4.149968970866393e-5,0.1314233108457452,8.313380403287308e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,310,1.0,2,-0.06533921719547185,0.00046605189310550116,0.009952916745906669,0.0008241017713893511
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,111,1.0,2,0.0,7.502635967975883e-12,0.08009524636435826,3.678436386819418e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,103,1.0,2,0.0,7.502635967975883e-12,0.03737972410750513,1.802015024706362e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,130,1.0,2,0.0,7.502635967975883e-12,-0.00427745951796699,0.0003547125864316607
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,211,1.0,2,0.01796586651823674,6.74577445562228e-5,-0.021998289777493987,0.00012729082511467627
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,220,1.0,2,-0.01742350919481942,0.0001981303246966098,-0.01811762681605719,0.0008337147094303478
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,301,1.0,2,-0.2596062325717699,0.0004597473475750078,-0.022057712528468047,0.00025701329073105344
-0.0,-0.0,40.0,3,false,false,0.5,1.0,4,100,1.0,2,0.0,7.502635967975883e-12,0.7395914555625666,0.00032428591176136823
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,121,1.0,2,0.0,7.502635967975883e-12,0.00029780104517665283,3.1603328460234796e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,400,1.0,2,0.035352995888368544,0.00020622524323899151,0.008760097062811533,0.0002768473012921802
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,102,1.0,2,0.0,7.502635967975883e-12,0.0783042820717283,3.560106257270841e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,110,1.0,2,0.0,7.502635967975883e-12,0.25132104069603667,0.00011447538432877702
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,200,1.0,2,0.045823536215316936,2.0859958383692764e-5,0.19758315505444965,0.0001068192292888493
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,112,1.0,2,0.0,7.502635967975883e-12,0.04126769110590822,1.8541244188852404e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,202,1.0,2,0.07357467927544496,2.6879974295558915e-5,0.07569137326649454,4.852866607669671e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,210,1.0,2,0.009881633043365234,4.057370947177822e-5,0.03449042893251744,0.00017601674477162393
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,101,1.0,2,0.0,7.502635967975883e-12,0.18378626666767628,8.821057174631033e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,300,1.0,2,-0.03853364561181116,8.520558350698928e-5,0.021107684714955593,0.00011832613131336901
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,120,1.0,2,0.0,7.502635967975883e-12,0.00558881580602642,0.0001261664762600075
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,201,1.0,2,0.06570528865302913,2.5517795494680022e-5,0.1200606336124946,6.904833409298125e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,310,1.0,2,-0.02607223018397066,0.00023388907708506471,0.002976385996568062,0.0005279920889205558
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,111,1.0,2,0.0,7.502635967975883e-12,0.07888537584973537,3.4491372477870906e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,103,1.0,2,0.0,7.502635967975883e-12,0.04387334971528877,2.019160647252329e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,130,1.0,2,0.0,7.502635967975883e-12,-0.002721659636966557,0.0003160106677636461
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,211,1.0,2,0.011973594431031584,4.227031647378927e-5,-0.0032788642238434865,0.00010235483790388255
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,220,1.0,2,-0.008089234350513567,0.00011529590482219572,-0.011584576381178366,0.0006457410501735781
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,301,1.0,2,-0.10074593660909437,0.00018491542403548166,-0.00043952271912236677,0.000151402490206308
-0.0,-0.0,40.0,3,false,false,0.75,1.0,4,100,1.0,2,0.0,7.502635967975883e-12,0.6670384209821499,0.00028239590910277994
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,121,1.0,2,0.0,7.502635967975883e-12,0.00034355313587447695,3.1099708574318443e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,400,1.0,2,0.011373122821455877,0.00010811400110577534,0.0044416915985797875,0.00017145802978338925
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,102,1.0,2,0.0,7.502635967975883e-12,0.08546134112098173,3.770150713021856e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,110,1.0,2,0.0,7.502635967975883e-12,0.22881567307611184,0.00010220588321611785
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,200,1.0,2,0.029984536794117608,1.4006834299953883e-5,0.16426251358600175,8.394066858601736e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,112,1.0,2,0.0,7.502635967975883e-12,0.041236720330568306,1.7779548088986018e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,202,1.0,2,0.05260506934581983,1.925790635919211e-5,0.07296235338186109,4.3282766489290275e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,210,1.0,2,0.00693445817948004,2.7431963337188224e-5,0.034430282681518445,0.00014311312699813285
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,101,1.0,2,0.0,7.502635967975883e-12,0.19084820574234485,8.983619788865819e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,300,1.0,2,-0.01775455765973335,4.581578112190265e-5,0.020054203891307885,8.25839441139813e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,120,1.0,2,0.0,7.502635967975883e-12,0.005169538615676406,0.0001126694407355996
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,201,1.0,2,0.04551833135105795,1.7787808539859967e-5,0.110335752521293,5.964950520254445e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,310,1.0,2,-0.013286241254670886,0.00014060469403525875,0.0023557848069813304,0.0003840076248940408
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,111,1.0,2,0.0,7.502635967975883e-12,0.07768632327269234,3.314011437317133e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,103,1.0,2,0.0,7.502635967975883e-12,0.04882392903477932,2.156963064885897e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,130,1.0,2,0.0,7.502635967975883e-12,-0.0023728039513791223,0.00028152186198337147
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,211,1.0,2,0.008750139075778688,3.0068811542288212e-5,0.005023975425901574,8.753123809188606e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,220,1.0,2,-0.004603501813399826,7.787597200701539e-5,-0.007045367429962074,0.0005279304098824788
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,301,1.0,2,-0.049522652175195817,9.862094528896539e-5,0.0069839975380572876,0.0001059208358476655
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,100,1.0,2,0.0,7.502635967975883e-12,0.6137219053770867,0.00025405753592293236
-0.0,-0.0,40.0,3,false,false,1.25,1.0,4,121,1.0,2,0.0,7.502635967975883e-12,0.000412516597073422,2.9674374196558174e-5
